Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1
meanmode,AffinityPropagation,0.93554007,0.897674419,0.927884615,0.912529551,0.898954704,0.862222222,0.877828054,0.869955157,0.926829268,0.906976744,0.898617512,0.902777778,0.925087108,0.869767442,0.925742574,0.896882494,0.919860627,0.902325581,0.885844749,0.894009217
meanmode,AffinityPropagation,0.895470383,0.842342342,0.882075472,0.861751152,0.895470383,0.937198068,0.804979253,0.866071429,0.907665505,0.855855856,0.900473934,0.877598152,0.888501742,0.869369369,0.846491228,0.857777778,0.891986063,0.869369369,0.853982301,0.861607143
meanmode,AffinityPropagation,0.914634146,0.9125,0.886639676,0.899383984,0.919860627,0.944186047,0.856540084,0.898230088,0.918118467,0.920833333,0.887550201,0.903885481,0.911149826,0.895833333,0.892116183,0.893970894,0.909407666,0.908333333,0.879032258,0.893442623
meanmode,AffinityPropagation,0.907665505,0.876712329,0.880733945,0.878718535,0.905923345,0.873303167,0.881278539,0.877272727,0.916376307,0.904109589,0.88,0.891891892,0.893728223,0.904109589,0.831932773,0.866520788,0.900696864,0.863013699,0.875,0.868965517
meanmode,AffinityPropagation,0.914634146,0.92920354,0.864197531,0.895522388,0.891986063,0.81147541,0.925233645,0.864628821,0.905923345,0.92920354,0.846774194,0.886075949,0.895470383,0.884955752,0.854700855,0.869565217,0.897212544,0.89380531,0.852320675,0.872570194
meanmode,AffinityPropagation,0.904181185,0.940909091,0.831325301,0.882729211,0.904181185,0.848214286,0.900473934,0.873563218,0.904181185,0.936363636,0.834008097,0.882226981,0.893728223,0.918181818,0.824489796,0.868817204,0.888501742,0.927272727,0.80952381,0.86440678
meanmode,AffinityPropagation,0.897212544,0.856502242,0.876146789,0.866213152,0.893728223,0.914798206,0.829268293,0.869936034,0.911149826,0.883408072,0.887387387,0.885393258,0.893728223,0.901345291,0.8375,0.86825054,0.890243902,0.883408072,0.841880342,0.86214442
meanmode,AffinityPropagation,0.898954704,0.895927602,0.849785408,0.872246696,0.921602787,0.910714286,0.890829694,0.900662252,0.902439024,0.900452489,0.854077253,0.876651982,0.905923345,0.914027149,0.852320675,0.88209607,0.883275261,0.832579186,0.859813084,0.845977011
meanmode,AffinityPropagation,0.905923345,0.864035088,0.895454545,0.879464286,0.914634146,0.896713615,0.876146789,0.886310905,0.902439024,0.872807018,0.880530973,0.876651982,0.904181185,0.881578947,0.877729258,0.879649891,0.869337979,0.776315789,0.880597015,0.825174825
meanmode,AffinityPropagation,0.911149826,0.896713615,0.868181818,0.88221709,0.87804878,0.873417722,0.83805668,0.855371901,0.911149826,0.953051643,0.831967213,0.888402626,0.897212544,0.892018779,0.840707965,0.865603645,0.898954704,0.812206573,0.905759162,0.856435644
