Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1
meanmode,SVD,0.944250871,0.932432432,0.924107143,0.928251121,0.926829268,0.918918919,0.894736842,0.906666667,0.93902439,0.941441441,0.904761905,0.922737307,0.933797909,0.936936937,0.896551724,0.916299559,0.928571429,0.932432432,0.888412017,0.90989011
meanmode,SVD,0.904181185,0.8,0.928176796,0.859335038,0.905923345,0.876190476,0.867924528,0.872037915,0.890243902,0.733333333,0.956521739,0.830188679,0.919860627,0.852380952,0.922680412,0.886138614,0.902439024,0.847619048,0.881188119,0.86407767
meanmode,SVD,0.933797909,0.941441441,0.893162393,0.916666667,0.916376307,0.905405405,0.881578947,0.893333333,0.932055749,0.95045045,0.882845188,0.915401302,0.942508711,0.959459459,0.898734177,0.928104575,0.904181185,0.918918919,0.846473029,0.881209503
meanmode,SVD,0.930313589,0.973568282,0.866666667,0.917012448,0.912891986,0.894273128,0.886462882,0.890350877,0.928571429,0.960352423,0.872,0.914046122,0.926829268,0.964757709,0.865612648,0.9125,0.909407666,0.925110132,0.857142857,0.889830508
meanmode,SVD,0.923344948,0.898230088,0.90625,0.902222222,0.909407666,0.902654867,0.871794872,0.886956522,0.918118467,0.889380531,0.901345291,0.89532294,0.932055749,0.898230088,0.926940639,0.912359551,0.909407666,0.867256637,0.899082569,0.882882883
meanmode,SVD,0.93554007,0.917475728,0.90430622,0.910843373,0.914634146,0.917475728,0.85520362,0.885245902,0.93902439,0.936893204,0.897674419,0.916864608,0.93554007,0.951456311,0.878923767,0.913752914,0.93554007,0.917475728,0.90430622,0.910843373
meanmode,SVD,0.923344948,0.955555556,0.863453815,0.907172996,0.886759582,0.92,0.81496063,0.864300626,0.925087108,0.96,0.864,0.909473684,0.925087108,0.942222222,0.876033058,0.907922912,0.907665505,0.924444444,0.852459016,0.886993603
meanmode,SVD,0.921602787,0.931914894,0.883064516,0.906832298,0.904181185,0.868085106,0.894736842,0.881209503,0.933797909,0.944680851,0.898785425,0.921161826,0.911149826,0.953191489,0.848484848,0.897795591,0.8728223,0.85106383,0.840336134,0.845665962
meanmode,SVD,0.93902439,0.90212766,0.946428571,0.923747277,0.904181185,0.885106383,0.881355932,0.883227176,0.93554007,0.885106383,0.95412844,0.918322296,0.93902439,0.910638298,0.938596491,0.924406048,0.916376307,0.893617021,0.901287554,0.897435897
meanmode,SVD,0.914634146,0.890829694,0.894736842,0.892778993,0.911149826,0.860262009,0.912037037,0.885393258,0.933797909,0.969432314,0.877470356,0.921161826,0.932055749,0.943231441,0.892561983,0.917197452,0.921602787,0.877729258,0.922018349,0.899328859
meanmode,SVD,0.912891986,0.845794393,0.914141414,0.878640777,0.912891986,0.864485981,0.898058252,0.880952381,0.914634146,0.827102804,0.936507937,0.878411911,0.921602787,0.859813084,0.924623116,0.891041162,0.905923345,0.85046729,0.892156863,0.870813397
meanmode,SVD,0.932055749,0.91627907,0.903669725,0.909930716,0.923344948,0.902325581,0.894009217,0.898148148,0.932055749,0.902325581,0.91509434,0.908665105,0.932055749,0.88372093,0.931372549,0.906921241,0.928571429,0.925581395,0.888392857,0.906605923
meanmode,SVD,0.926829268,0.88209607,0.930875576,0.905829596,0.905923345,0.820960699,0.935323383,0.874418605,0.912891986,0.847161572,0.928229665,0.885844749,0.923344948,0.873362445,0.930232558,0.900900901,0.926829268,0.864628821,0.947368421,0.904109589
